"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5558","Cancel Genre Update","chromium","2026-09-25","passed","2026-09-25","QA Playground - Data Table - Cancel Edit Validation","practice/dataTable/dataTable-editBook.spec.js","",""
"","3056","Select Starter","chromium","2026-09-25","passed","2026-09-25","QA Playground - Radio And Checkbox Tests > Radio Button Group","practice/radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","3449","Search Next.js Then Select","chromium","2026-09-25","passed","2026-09-25","QA Playground - Multi-Select Tests > Scenario: Search Multi-Select","practice/multiSelect/multiSelect.spec.js","",""
"","2060","Scenario: Dynamic Tab Registry","chromium","2026-09-25","passed","2026-09-25","QA Playground - Tabs and Windows - Default Value Validation","practice/tabsAndWindows/tabsAndWindows-validation.spec.js","",""
"","2381","Click Broken Button","chromium","2026-09-25","passed","2026-09-25","QA Playground - Links Tests > Button Links","practice/links/links.spec.js","",""
"","3414","Click Confirm Action On Dynamic Modal","chromium","2026-09-25","passed","2026-09-25","QA Playground - Modal Windows Tests > Scenario: Dynamic Modal","practice/modalWindows/modalWindows.spec.js","",""
"","2191","Scenario Broken Links: New Tab","chromium","2026-09-25","passed","2026-09-25","QA Playground - Links - Href Attribute Validations","practice/links/links-validation.spec.js","",""
"","2980","Select Playwright","chromium","2026-09-25","passed","2026-09-25","QA Playground - Radio And Checkbox Tests > Checkbox Group","practice/radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","3309","Click Esc Key","chromium","2026-09-25","passed","2026-09-25","QA Playground - Alerts And Dialogs Tests > Escape Key Section","practice/alertsAndDialogs/alertsAndDialogs.spec.js","",""
"","2034","Scenario Button Links","chromium","2026-09-25","passed","2026-09-25","QA Playground - Links - Default Result Text Validations","practice/links/links-validation.spec.js","",""
"","3143","Read Field Input is Read-Only","chromium","2026-09-25","passed","2026-09-25","QA Playground - Input Fields Tests > Scenario Read Value","practice/inputFields/inputFields.spec.js","",""
"","6439","Cancel All Fields Update","chromium","2026-09-25","passed","2026-09-25","QA Playground - Data Table - Cancel Edit Validation","practice/dataTable/dataTable-editBook.spec.js","",""
"","3712","Author Required Validation","chromium","2026-09-25","passed","2026-09-25","QA Playground - Data Table - Unsuccessful Add Book Validations","practice/dataTable/dataTable-addBook.spec.js","",""
